time_ps,lam,W_kcal,planarity_A,radius_A,radiusCV,axial_span_A,n_engaged
2.00,0.996,-0.229,0.758,25.260,0.0153,4.354,4
4.00,0.992,-0.426,0.738,25.232,0.0166,4.332,4
6.00,0.988,-0.584,0.754,25.166,0.0162,4.389,5
8.00,0.984,-0.801,0.793,25.254,0.0153,4.390,5
10.00,0.980,-1.077,0.709,25.238,0.0140,4.190,5
12.00,0.976,-1.341,0.702,25.138,0.0133,4.171,5
14.00,0.972,-1.563,0.718,25.164,0.0127,4.220,4
16.00,0.968,-1.671,0.740,25.203,0.0132,4.335,5
18.00,0.964,-1.775,0.781,25.168,0.0142,4.398,5
20.00,0.960,-1.788,0.723,25.121,0.0172,4.365,5
22.00,0.956,-1.832,0.756,25.186,0.0165,4.380,5
24.00,0.952,-2.025,0.740,25.208,0.0164,4.221,4
26.00,0.948,-2.215,0.704,25.263,0.0147,4.155,4
28.00,0.944,-2.337,0.685,25.254,0.0147,4.164,5
30.00,0.940,-2.427,0.716,25.297,0.0141,4.234,5
32.00,0.936,-2.663,0.655,25.175,0.0137,3.996,5
34.00,0.932,-2.818,0.730,25.185,0.0167,4.164,4
36.00,0.928,-2.817,0.732,25.135,0.0191,4.278,5
38.00,0.924,-3.020,0.633,25.124,0.0148,3.940,5
40.00,0.920,-3.298,0.617,25.169,0.0149,3.845,5
42.00,0.916,-3.413,0.736,25.231,0.0147,4.155,5
44.00,0.912,-3.333,0.770,25.194,0.0152,4.344,4
46.00,0.908,-3.320,0.705,25.184,0.0164,4.174,5
48.00,0.904,-3.414,0.677,25.238,0.0169,4.037,4
50.00,0.900,-3.388,0.717,25.184,0.0161,4.179,4
52.00,0.896,-3.340,0.761,25.246,0.0166,4.255,4
54.00,0.892,-3.410,0.750,25.283,0.0147,4.131,5
56.00,0.888,-3.554,0.718,25.261,0.0148,4.023,4
58.00,0.884,-3.669,0.697,25.215,0.0140,3.994,5
60.00,0.880,-3.682,0.657,25.203,0.0148,3.989,4
62.00,0.876,-3.705,0.705,25.199,0.0126,4.047,5
64.00,0.872,-3.836,0.702,25.158,0.0142,3.937,5
66.00,0.868,-3.846,0.695,25.122,0.0150,4.011,5
68.00,0.864,-3.889,0.722,25.153,0.0148,4.015,5
70.00,0.860,-4.083,0.677,25.113,0.0142,3.809,5
72.00,0.856,-4.227,0.685,25.101,0.0109,3.858,5
74.00,0.852,-4.263,0.617,25.116,0.0133,3.825,5
76.00,0.848,-4.400,0.657,25.080,0.0150,3.788,5
78.00,0.844,-4.487,0.685,24.996,0.0144,3.860,5
80.00,0.840,-4.770,0.604,25.026,0.0153,3.551,5
82.00,0.836,-5.048,0.556,25.022,0.0166,3.463,5
84.00,0.832,-5.001,0.613,25.052,0.0174,3.812,5
86.00,0.828,-4.957,0.682,25.113,0.0166,3.906,5
88.00,0.824,-5.124,0.600,25.044,0.0149,3.592,5
90.00,0.820,-5.364,0.587,24.984,0.0137,3.492,5
92.00,0.816,-5.360,0.645,24.972,0.0161,3.774,5
94.00,0.812,-5.419,0.656,24.924,0.0196,3.725,5
96.00,0.808,-5.562,0.636,24.928,0.0166,3.615,4
98.00,0.804,-5.755,0.623,24.990,0.0125,3.530,4
100.00,0.800,-5.870,0.624,25.004,0.0133,3.587,5
102.00,0.796,-5.958,0.638,25.007,0.0147,3.616,5
104.00,0.792,-6.139,0.626,25.064,0.0148,3.505,5
106.00,0.788,-6.278,0.628,25.112,0.0157,3.535,5
108.00,0.784,-6.328,0.607,25.128,0.0141,3.561,5
110.00,0.780,-6.453,0.540,25.099,0.0150,3.379,5
112.00,0.776,-6.437,0.580,25.135,0.0171,3.548,5
114.00,0.772,-6.530,0.581,25.136,0.0180,3.440,5
116.00,0.768,-6.707,0.598,25.131,0.0160,3.389,5
118.00,0.764,-6.779,0.570,25.068,0.0160,3.407,5
120.00,0.760,-6.661,0.614,24.972,0.0153,3.629,5
122.00,0.756,-6.603,0.623,25.047,0.0145,3.581,5
124.00,0.752,-6.708,0.591,25.136,0.0149,3.382,5
126.00,0.748,-6.800,0.606,25.031,0.0155,3.406,5
128.00,0.744,-6.969,0.545,25.000,0.0171,3.231,4
130.00,0.740,-6.965,0.591,25.018,0.0166,3.431,5
132.00,0.736,-6.967,0.546,24.963,0.0151,3.343,5
134.00,0.732,-7.044,0.562,24.959,0.0131,3.294,4
136.00,0.728,-7.106,0.591,25.021,0.0142,3.340,5
138.00,0.724,-7.002,0.571,25.066,0.0151,3.427,5
140.00,0.720,-6.904,0.633,25.040,0.0117,3.515,5
142.00,0.716,-6.836,0.601,25.004,0.0123,3.425,5
144.00,0.712,-6.857,0.538,24.984,0.0143,3.220,5
146.00,0.708,-6.640,0.658,25.004,0.0111,3.611,5
148.00,0.704,-6.472,0.613,25.034,0.0133,3.486,5
150.00,0.700,-6.394,0.593,25.149,0.0140,3.367,5
152.00,0.696,-6.328,0.573,25.075,0.0163,3.309,5
154.00,0.692,-6.464,0.576,25.079,0.0154,3.141,5
156.00,0.688,-6.531,0.570,25.133,0.0194,3.169,5
158.00,0.684,-6.585,0.589,25.101,0.0181,3.205,5
160.00,0.680,-6.647,0.592,25.141,0.0171,3.190,5
162.00,0.676,-6.807,0.550,25.140,0.0156,3.016,5
164.00,0.672,-6.867,0.608,25.060,0.0154,3.185,5
166.00,0.668,-7.054,0.581,25.120,0.0138,3.019,5
168.00,0.664,-7.020,0.543,25.096,0.0171,3.127,5
170.00,0.660,-6.949,0.564,25.040,0.0188,3.175,5
172.00,0.656,-6.949,0.527,25.082,0.0190,3.040,5
174.00,0.652,-7.098,0.477,25.065,0.0180,2.820,5
176.00,0.648,-7.186,0.476,25.106,0.0163,2.863,5
178.00,0.644,-7.204,0.468,25.130,0.0151,2.893,5
180.00,0.640,-7.096,0.518,25.132,0.0133,3.064,5
182.00,0.636,-7.137,0.467,25.162,0.0126,2.848,5
184.00,0.632,-7.120,0.530,25.171,0.0133,2.984,5
186.00,0.628,-7.181,0.514,25.115,0.0141,2.876,5
188.00,0.624,-7.236,0.478,25.122,0.0161,2.807,5
190.00,0.620,-7.211,0.549,25.100,0.0154,2.982,5
192.00,0.616,-7.230,0.522,25.117,0.0156,2.889,5
194.00,0.612,-7.355,0.525,25.147,0.0137,2.792,5
196.00,0.608,-7.442,0.501,25.214,0.0144,2.771,5
198.00,0.604,-7.492,0.520,25.115,0.0154,2.817,5
200.00,0.600,-7.453,0.514,25.101,0.0156,2.863,5
202.00,0.596,-7.418,0.509,25.080,0.0149,2.840,5
204.00,0.592,-7.382,0.515,25.063,0.0144,2.837,5
206.00,0.588,-7.348,0.550,25.132,0.0141,2.888,4
208.00,0.584,-7.391,0.488,25.155,0.0164,2.704,5
210.00,0.580,-7.354,0.477,25.148,0.0160,2.734,5
212.00,0.576,-7.245,0.449,25.134,0.0168,2.740,5
214.00,0.572,-7.246,0.455,25.077,0.0141,2.639,5
216.00,0.568,-7.080,0.478,25.169,0.0149,2.793,5
218.00,0.564,-6.958,0.479,25.116,0.0156,2.752,5
220.00,0.560,-6.973,0.470,25.128,0.0148,2.613,5
222.00,0.556,-6.987,0.449,25.146,0.0140,2.567,5
224.00,0.552,-6.962,0.478,25.165,0.0150,2.633,5
226.00,0.548,-6.910,0.480,25.184,0.0152,2.637,5
228.00,0.544,-6.824,0.520,25.158,0.0169,2.725,4
230.00,0.540,-6.829,0.427,25.126,0.0174,2.484,5
232.00,0.536,-6.862,0.414,25.155,0.0152,2.423,5
234.00,0.532,-6.819,0.430,25.209,0.0161,2.500,5
236.00,0.528,-6.813,0.472,25.243,0.0176,2.534,5
238.00,0.524,-6.810,0.426,25.204,0.0199,2.442,5
240.00,0.520,-6.817,0.404,25.172,0.0170,2.376,5
242.00,0.516,-6.729,0.464,25.187,0.0198,2.536,5
244.00,0.512,-6.718,0.464,25.177,0.0212,2.458,5
246.00,0.508,-6.654,0.474,25.131,0.0192,2.510,5
248.00,0.504,-6.560,0.484,25.193,0.0215,2.537,5
250.00,0.500,-6.426,0.477,25.257,0.0210,2.547,5
252.00,0.496,-6.406,0.447,25.218,0.0195,2.393,5
254.00,0.492,-6.417,0.465,25.088,0.0163,2.393,5
256.00,0.488,-6.305,0.438,25.105,0.0172,2.433,5
258.00,0.484,-6.165,0.460,25.120,0.0147,2.482,5
260.00,0.480,-6.069,0.432,25.084,0.0149,2.385,5
262.00,0.476,-6.036,0.396,25.133,0.0176,2.261,5
264.00,0.472,-6.111,0.368,25.143,0.0211,2.110,5
266.00,0.468,-6.105,0.451,25.181,0.0197,2.299,5
268.00,0.464,-5.908,0.445,25.131,0.0180,2.437,5
270.00,0.460,-5.720,0.387,25.118,0.0150,2.314,5
272.00,0.456,-5.697,0.384,25.105,0.0158,2.168,5
274.00,0.452,-5.681,0.461,25.132,0.0174,2.277,4
276.00,0.448,-5.643,0.442,25.136,0.0200,2.246,5
278.00,0.444,-5.659,0.436,25.188,0.0181,2.173,4
280.00,0.440,-5.674,0.389,25.271,0.0152,2.083,4
282.00,0.436,-5.590,0.378,25.176,0.0190,2.134,5
284.00,0.432,-5.473,0.421,25.138,0.0186,2.224,5
286.00,0.428,-5.429,0.418,25.214,0.0151,2.150,5
288.00,0.424,-5.401,0.388,25.118,0.0181,2.067,5
290.00,0.420,-5.281,0.385,25.100,0.0210,2.093,5
292.00,0.416,-5.161,0.394,25.166,0.0215,2.104,4
294.00,0.412,-5.021,0.406,25.111,0.0232,2.147,5
296.00,0.408,-4.866,0.378,25.118,0.0232,2.098,4
298.00,0.404,-4.820,0.389,25.074,0.0226,2.020,5
300.00,0.400,-4.797,0.381,25.119,0.0224,1.969,5
302.00,0.396,-4.681,0.374,25.205,0.0245,2.011,5
304.00,0.392,-4.498,0.368,25.197,0.0240,2.048,5
306.00,0.388,-4.410,0.357,25.221,0.0240,1.942,5
308.00,0.384,-4.415,0.380,25.253,0.0211,1.890,5
310.00,0.380,-4.392,0.365,25.182,0.0233,1.881,4
312.00,0.376,-4.356,0.368,25.216,0.0228,1.881,5
314.00,0.372,-4.291,0.347,25.313,0.0232,1.854,4
316.00,0.368,-4.116,0.388,25.307,0.0236,1.998,4
318.00,0.364,-4.066,0.382,25.277,0.0202,1.868,4
320.00,0.360,-3.965,0.374,25.270,0.0233,1.879,4
322.00,0.356,-3.747,0.407,25.286,0.0246,2.005,4
324.00,0.352,-3.741,0.349,25.312,0.0210,1.743,5
326.00,0.348,-3.914,0.332,25.336,0.0215,1.565,4
328.00,0.344,-3.916,0.318,25.315,0.0214,1.663,4
330.00,0.340,-3.874,0.292,25.330,0.0216,1.639,5
332.00,0.336,-3.829,0.352,25.357,0.0245,1.731,5
334.00,0.332,-3.766,0.306,25.421,0.0234,1.654,5
336.00,0.328,-3.750,0.291,25.340,0.0246,1.577,5
338.00,0.324,-3.627,0.284,25.320,0.0264,1.644,5
340.00,0.320,-3.723,0.279,25.308,0.0257,1.436,5
342.00,0.316,-3.713,0.259,25.365,0.0224,1.478,5
344.00,0.312,-3.632,0.242,25.363,0.0233,1.496,5
346.00,0.308,-3.549,0.276,25.362,0.0222,1.531,5
348.00,0.304,-3.464,0.346,25.382,0.0200,1.652,5
350.00,0.300,-3.298,0.329,25.342,0.0206,1.666,5
352.00,0.296,-3.199,0.302,25.357,0.0219,1.561,5
354.00,0.292,-3.194,0.288,25.392,0.0208,1.445,5
356.00,0.288,-3.034,0.319,25.430,0.0231,1.609,5
358.00,0.284,-2.900,0.268,25.380,0.0216,1.492,5
360.00,0.280,-2.914,0.212,25.363,0.0214,1.268,5
362.00,0.276,-2.790,0.261,25.327,0.0246,1.448,5
364.00,0.272,-2.694,0.258,25.308,0.0255,1.403,5
366.00,0.268,-2.667,0.220,25.234,0.0222,1.273,5
368.00,0.264,-2.644,0.256,25.237,0.0195,1.319,5
370.00,0.260,-2.634,0.285,25.249,0.0219,1.339,5
372.00,0.256,-2.647,0.235,25.278,0.0233,1.216,5
374.00,0.252,-2.448,0.233,25.304,0.0257,1.383,5
376.00,0.248,-2.416,0.187,25.354,0.0271,1.150,5
378.00,0.244,-2.337,0.262,25.320,0.0235,1.308,5
380.00,0.240,-2.317,0.251,25.292,0.0214,1.224,5
382.00,0.236,-2.160,0.269,25.323,0.0223,1.344,5
384.00,0.232,-2.020,0.294,25.376,0.0243,1.362,5
386.00,0.228,-1.930,0.274,25.373,0.0239,1.282,5
388.00,0.224,-1.816,0.237,25.309,0.0244,1.212,5
390.00,0.220,-1.800,0.279,25.254,0.0265,1.176,5
392.00,0.216,-1.728,0.234,25.265,0.0252,1.136,5
394.00,0.212,-1.666,0.251,25.245,0.0223,1.136,5
396.00,0.208,-1.710,0.219,25.279,0.0201,0.972,5
398.00,0.204,-1.581,0.243,25.247,0.0218,1.185,5
400.00,0.200,-1.347,0.288,25.272,0.0223,1.331,5
402.00,0.196,-1.168,0.255,25.250,0.0202,1.219,5
404.00,0.192,-1.104,0.286,25.275,0.0213,1.153,5
406.00,0.188,-1.025,0.213,25.323,0.0219,1.036,5
408.00,0.184,-0.801,0.262,25.331,0.0231,1.227,5
410.00,0.180,-0.577,0.217,25.351,0.0211,1.134,5
412.00,0.176,-0.371,0.210,25.227,0.0207,1.098,5
414.00,0.172,-0.465,0.171,25.207,0.0220,0.739,5
416.00,0.168,-0.384,0.168,25.207,0.0203,0.893,5
418.00,0.164,-0.297,0.158,25.235,0.0206,0.864,5
420.00,0.160,-0.184,0.189,25.258,0.0178,0.936,5
422.00,0.156,-0.067,0.177,25.317,0.0203,0.904,5
424.00,0.152,-0.108,0.176,25.362,0.0226,0.759,5
426.00,0.148,-0.098,0.169,25.379,0.0234,0.746,5
428.00,0.144,-0.155,0.114,25.359,0.0242,0.593,5
430.00,0.140,-0.227,0.136,25.333,0.0220,0.604,5
432.00,0.136,-0.175,0.133,25.320,0.0209,0.715,5
434.00,0.132,0.061,0.197,25.289,0.0218,0.958,5
436.00,0.128,0.237,0.210,25.374,0.0242,0.917,5
438.00,0.124,0.276,0.190,25.304,0.0211,0.753,5
440.00,0.120,0.362,0.168,25.237,0.0226,0.747,5
442.00,0.116,0.392,0.179,25.350,0.0238,0.692,5
444.00,0.112,0.524,0.186,25.376,0.0227,0.734,5
446.00,0.108,0.698,0.140,25.340,0.0200,0.735,5
