time_ps,lam,W_kcal,planarity_A,radius_A,radiusCV,axial_span_A,n_engaged
2.00,0.996,-0.200,0.697,25.305,0.0175,4.261,4
4.00,0.992,-0.355,0.782,25.303,0.0208,4.423,5
6.00,0.988,-0.489,0.756,25.245,0.0188,4.395,4
8.00,0.984,-0.588,0.764,25.228,0.0177,4.417,5
10.00,0.980,-0.680,0.801,25.273,0.0156,4.456,5
12.00,0.976,-0.843,0.792,25.313,0.0165,4.388,5
14.00,0.972,-0.941,0.791,25.263,0.0164,4.425,4
16.00,0.968,-0.907,0.791,25.196,0.0136,4.526,5
18.00,0.964,-0.863,0.761,25.233,0.0124,4.481,5
20.00,0.960,-1.013,0.731,25.244,0.0139,4.254,5
22.00,0.956,-1.143,0.743,25.295,0.0167,4.272,5
24.00,0.952,-1.219,0.709,25.322,0.0139,4.249,5
26.00,0.948,-1.281,0.722,25.252,0.0129,4.272,5
28.00,0.944,-1.410,0.663,25.275,0.0111,4.103,5
30.00,0.940,-1.465,0.728,25.254,0.0131,4.261,5
32.00,0.936,-1.533,0.724,25.255,0.0152,4.235,5
34.00,0.932,-1.643,0.734,25.198,0.0151,4.201,4
36.00,0.928,-1.637,0.743,25.245,0.0145,4.293,5
38.00,0.924,-1.710,0.742,25.216,0.0139,4.217,5
40.00,0.920,-1.870,0.758,25.192,0.0159,4.158,5
42.00,0.916,-1.967,0.709,25.165,0.0154,4.115,5
44.00,0.912,-1.877,0.720,25.215,0.0146,4.279,5
46.00,0.908,-1.831,0.688,25.217,0.0114,4.173,4
48.00,0.904,-1.722,0.711,25.280,0.0110,4.244,4
50.00,0.900,-1.763,0.719,25.288,0.0114,4.124,5
52.00,0.896,-1.793,0.708,25.282,0.0133,4.101,4
54.00,0.892,-1.841,0.731,25.274,0.0155,4.111,5
56.00,0.888,-1.760,0.760,25.225,0.0141,4.257,5
58.00,0.884,-1.736,0.739,25.181,0.0108,4.167,5
60.00,0.880,-1.803,0.698,25.237,0.0124,4.015,5
62.00,0.876,-1.944,0.657,25.241,0.0134,3.867,5
64.00,0.872,-2.098,0.674,25.242,0.0119,3.863,4
66.00,0.868,-2.165,0.678,25.253,0.0123,3.929,4
68.00,0.864,-2.214,0.687,25.267,0.0153,3.951,5
70.00,0.860,-2.322,0.698,25.263,0.0147,3.911,4
72.00,0.856,-2.576,0.692,25.301,0.0130,3.768,4
74.00,0.852,-2.740,0.665,25.365,0.0150,3.784,5
76.00,0.848,-2.782,0.686,25.347,0.0134,3.907,5
78.00,0.844,-2.908,0.648,25.275,0.0133,3.748,5
80.00,0.840,-3.156,0.593,25.317,0.0110,3.563,5
82.00,0.836,-3.366,0.667,25.337,0.0143,3.694,5
84.00,0.832,-3.529,0.665,25.326,0.0163,3.715,5
86.00,0.828,-3.729,0.663,25.295,0.0152,3.661,5
88.00,0.824,-3.899,0.613,25.300,0.0150,3.592,4
90.00,0.820,-3.963,0.678,25.255,0.0137,3.782,5
92.00,0.816,-4.089,0.663,25.272,0.0143,3.691,4
94.00,0.812,-4.313,0.644,25.296,0.0152,3.566,5
96.00,0.808,-4.369,0.670,25.286,0.0160,3.732,5
98.00,0.804,-4.348,0.637,25.290,0.0187,3.729,5
100.00,0.800,-4.429,0.655,25.301,0.0200,3.656,5
102.00,0.796,-4.477,0.672,25.330,0.0198,3.697,5
104.00,0.792,-4.559,0.703,25.357,0.0168,3.718,4
106.00,0.788,-4.554,0.680,25.278,0.0130,3.738,5
108.00,0.784,-4.564,0.653,25.314,0.0146,3.662,5
110.00,0.780,-4.471,0.671,25.328,0.0142,3.762,4
112.00,0.776,-4.503,0.667,25.272,0.0151,3.640,4
114.00,0.772,-4.652,0.636,25.294,0.0158,3.486,4
116.00,0.768,-4.605,0.674,25.291,0.0167,3.689,4
118.00,0.764,-4.629,0.616,25.329,0.0171,3.525,5
120.00,0.760,-4.596,0.689,25.309,0.0165,3.680,5
122.00,0.756,-4.418,0.680,25.263,0.0177,3.754,4
124.00,0.752,-4.417,0.665,25.261,0.0149,3.576,4
126.00,0.748,-4.499,0.658,25.267,0.0132,3.483,5
128.00,0.744,-4.435,0.648,25.276,0.0152,3.578,4
130.00,0.740,-4.267,0.659,25.277,0.0186,3.675,5
132.00,0.736,-4.173,0.595,25.287,0.0180,3.480,4
134.00,0.732,-4.219,0.576,25.264,0.0168,3.334,5
136.00,0.728,-4.281,0.522,25.295,0.0166,3.216,5
138.00,0.724,-4.454,0.566,25.267,0.0158,3.187,5
140.00,0.720,-4.543,0.602,25.389,0.0147,3.304,4
142.00,0.716,-4.538,0.661,25.391,0.0135,3.470,4
144.00,0.712,-4.596,0.574,25.358,0.0164,3.258,5
146.00,0.708,-4.615,0.542,25.384,0.0156,3.228,4
148.00,0.704,-4.625,0.595,25.370,0.0176,3.309,5
150.00,0.700,-4.820,0.522,25.348,0.0147,3.028,5
152.00,0.696,-4.980,0.556,25.339,0.0158,3.097,4
154.00,0.692,-5.013,0.576,25.312,0.0157,3.218,4
156.00,0.688,-5.049,0.559,25.275,0.0165,3.159,4
158.00,0.684,-5.148,0.574,25.248,0.0161,3.126,4
160.00,0.680,-5.244,0.577,25.263,0.0148,3.102,5
162.00,0.676,-5.075,0.584,25.300,0.0160,3.339,4
164.00,0.672,-5.045,0.568,25.280,0.0186,3.180,5
166.00,0.668,-5.058,0.583,25.285,0.0180,3.157,5
168.00,0.664,-4.982,0.616,25.291,0.0160,3.276,5
170.00,0.660,-4.975,0.558,25.317,0.0160,3.099,4
172.00,0.656,-4.931,0.594,25.259,0.0157,3.183,5
174.00,0.652,-4.922,0.567,25.225,0.0171,3.096,4
176.00,0.648,-4.817,0.585,25.349,0.0195,3.188,5
178.00,0.644,-4.818,0.552,25.329,0.0171,3.043,4
180.00,0.640,-4.874,0.532,25.356,0.0161,2.956,4
182.00,0.636,-4.930,0.543,25.437,0.0157,2.958,4
184.00,0.632,-4.939,0.570,25.420,0.0153,3.029,4
186.00,0.628,-4.863,0.609,25.435,0.0154,3.136,4
188.00,0.624,-4.850,0.511,25.401,0.0163,2.913,5
190.00,0.620,-4.867,0.487,25.349,0.0165,2.836,4
192.00,0.616,-4.943,0.527,25.272,0.0166,2.846,5
194.00,0.612,-5.010,0.565,25.327,0.0149,2.901,4
196.00,0.608,-5.059,0.547,25.309,0.0125,2.872,4
198.00,0.604,-5.057,0.477,25.307,0.0137,2.785,5
200.00,0.600,-5.066,0.518,25.244,0.0178,2.827,4
202.00,0.596,-5.071,0.558,25.207,0.0158,2.884,5
204.00,0.592,-5.102,0.554,25.224,0.0162,2.849,4
206.00,0.588,-5.076,0.527,25.260,0.0143,2.838,4
208.00,0.584,-5.071,0.543,25.271,0.0123,2.832,4
210.00,0.580,-5.052,0.514,25.258,0.0171,2.781,5
212.00,0.576,-4.973,0.547,25.285,0.0159,2.877,4
214.00,0.572,-4.862,0.502,25.286,0.0154,2.812,4
216.00,0.568,-4.826,0.508,25.300,0.0153,2.755,4
218.00,0.564,-4.712,0.520,25.374,0.0130,2.826,4
220.00,0.560,-4.597,0.481,25.277,0.0113,2.748,4
222.00,0.556,-4.559,0.480,25.266,0.0117,2.672,5
224.00,0.552,-4.671,0.474,25.236,0.0152,2.518,4
226.00,0.548,-4.722,0.468,25.278,0.0173,2.547,5
228.00,0.544,-4.735,0.465,25.361,0.0181,2.563,4
230.00,0.540,-4.720,0.460,25.315,0.0177,2.554,4
232.00,0.536,-4.740,0.453,25.297,0.0178,2.509,4
234.00,0.532,-4.733,0.494,25.291,0.0153,2.580,4
236.00,0.528,-4.684,0.516,25.343,0.0140,2.627,5
238.00,0.524,-4.664,0.467,25.339,0.0125,2.530,4
240.00,0.520,-4.739,0.412,25.349,0.0134,2.344,4
242.00,0.516,-4.757,0.447,25.360,0.0166,2.432,4
244.00,0.512,-4.735,0.432,25.345,0.0162,2.419,4
246.00,0.508,-4.759,0.437,25.331,0.0173,2.378,4
248.00,0.504,-4.626,0.437,25.275,0.0204,2.495,4
250.00,0.500,-4.488,0.480,25.274,0.0169,2.561,4
252.00,0.496,-4.427,0.453,25.337,0.0150,2.443,4
254.00,0.492,-4.426,0.475,25.299,0.0145,2.408,4
256.00,0.488,-4.356,0.481,25.301,0.0155,2.473,4
258.00,0.484,-4.296,0.395,25.267,0.0158,2.303,4
260.00,0.480,-4.248,0.402,25.264,0.0165,2.290,4
262.00,0.476,-4.222,0.422,25.312,0.0124,2.292,4
264.00,0.472,-4.233,0.459,25.232,0.0127,2.314,4
266.00,0.468,-4.346,0.452,25.263,0.0121,2.202,4
268.00,0.464,-4.391,0.481,25.283,0.0124,2.277,5
270.00,0.460,-4.404,0.440,25.272,0.0114,2.211,4
272.00,0.456,-4.299,0.438,25.325,0.0119,2.291,4
274.00,0.452,-4.239,0.398,25.416,0.0121,2.205,4
276.00,0.448,-4.337,0.442,25.412,0.0139,2.137,4
278.00,0.444,-4.438,0.368,25.400,0.0151,1.990,4
280.00,0.440,-4.428,0.359,25.331,0.0149,2.056,4
282.00,0.436,-4.313,0.405,25.370,0.0119,2.208,5
284.00,0.432,-4.260,0.369,25.407,0.0109,2.080,5
286.00,0.428,-4.238,0.425,25.335,0.0094,2.141,4
288.00,0.424,-4.187,0.456,25.259,0.0104,2.201,5
290.00,0.420,-4.109,0.418,25.235,0.0101,2.149,4
292.00,0.416,-4.028,0.376,25.290,0.0118,2.068,4
294.00,0.412,-4.058,0.392,25.302,0.0122,1.993,4
296.00,0.408,-3.963,0.425,25.218,0.0109,2.135,4
298.00,0.404,-3.962,0.370,25.263,0.0114,1.957,5
300.00,0.400,-3.922,0.377,25.256,0.0140,1.985,4
302.00,0.396,-3.845,0.380,25.243,0.0120,1.999,5
304.00,0.392,-3.799,0.337,25.215,0.0118,1.891,4
306.00,0.388,-3.822,0.355,25.183,0.0129,1.855,4
308.00,0.384,-3.806,0.331,25.196,0.0137,1.827,4
310.00,0.380,-3.715,0.339,25.216,0.0108,1.890,4
312.00,0.376,-3.826,0.346,25.292,0.0093,1.717,4
314.00,0.372,-3.794,0.376,25.291,0.0094,1.868,4
316.00,0.368,-3.835,0.301,25.347,0.0138,1.682,4
318.00,0.364,-3.704,0.378,25.357,0.0141,1.938,4
320.00,0.360,-3.697,0.351,25.352,0.0124,1.779,4
322.00,0.356,-3.536,0.368,25.362,0.0103,1.917,5
324.00,0.352,-3.548,0.310,25.301,0.0130,1.672,5
326.00,0.348,-3.487,0.352,25.355,0.0131,1.786,5
328.00,0.344,-3.418,0.369,25.376,0.0136,1.809,5
330.00,0.340,-3.551,0.297,25.376,0.0166,1.505,5
332.00,0.336,-3.739,0.328,25.395,0.0156,1.500,4
334.00,0.332,-3.896,0.311,25.374,0.0136,1.486,4
336.00,0.328,-3.999,0.337,25.345,0.0147,1.562,5
338.00,0.324,-3.937,0.340,25.427,0.0164,1.685,4
340.00,0.320,-3.987,0.303,25.439,0.0149,1.524,4
342.00,0.316,-3.949,0.305,25.346,0.0136,1.585,4
344.00,0.312,-3.953,0.345,25.299,0.0120,1.600,4
346.00,0.308,-3.844,0.379,25.336,0.0138,1.740,4
348.00,0.304,-3.663,0.345,25.250,0.0153,1.722,4
350.00,0.300,-3.530,0.305,25.204,0.0153,1.589,4
352.00,0.296,-3.600,0.256,25.242,0.0149,1.334,5
354.00,0.292,-3.579,0.314,25.275,0.0167,1.477,4
356.00,0.288,-3.638,0.338,25.289,0.0170,1.459,4
358.00,0.284,-3.645,0.337,25.241,0.0163,1.481,4
360.00,0.280,-3.557,0.336,25.268,0.0141,1.539,4
362.00,0.276,-3.467,0.331,25.233,0.0150,1.508,4
364.00,0.272,-3.328,0.358,25.303,0.0150,1.597,5
366.00,0.268,-3.340,0.264,25.308,0.0139,1.309,5
368.00,0.264,-3.258,0.283,25.284,0.0147,1.410,4
370.00,0.260,-3.349,0.260,25.385,0.0159,1.195,5
372.00,0.256,-3.232,0.289,25.409,0.0156,1.409,4
374.00,0.252,-3.002,0.323,25.372,0.0142,1.526,4
376.00,0.248,-2.859,0.224,25.427,0.0155,1.305,4
378.00,0.244,-2.754,0.244,25.411,0.0172,1.296,5
380.00,0.240,-2.606,0.259,25.403,0.0150,1.340,4
382.00,0.236,-2.545,0.226,25.360,0.0117,1.204,4
384.00,0.232,-2.304,0.277,25.408,0.0112,1.401,4
386.00,0.228,-2.123,0.288,25.427,0.0128,1.348,4
388.00,0.224,-1.947,0.246,25.477,0.0133,1.258,4
