time_ps,lam,W_kcal,planarity_A,radius_A,radiusCV,axial_span_A,n_engaged
2.00,0.004,0.104,0.019,25.691,0.0131,0.209,3
4.00,0.008,0.145,0.026,25.630,0.0145,0.108,4
6.00,0.012,0.203,0.024,25.585,0.0145,0.147,4
8.00,0.016,0.359,0.045,25.625,0.0156,0.192,4
10.00,0.020,0.499,0.031,25.636,0.0168,0.102,4
12.00,0.024,0.653,0.077,25.579,0.0166,0.223,4
14.00,0.028,0.759,0.021,25.625,0.0155,0.064,3
16.00,0.032,0.847,0.045,25.659,0.0154,0.236,5
18.00,0.036,0.912,0.040,25.599,0.0160,0.124,4
20.00,0.040,0.827,0.049,25.538,0.0181,0.322,3
22.00,0.044,0.679,0.088,25.578,0.0186,0.401,3
24.00,0.048,0.681,0.065,25.587,0.0164,0.252,3
26.00,0.052,0.675,0.039,25.626,0.0146,0.228,4
28.00,0.056,0.614,0.066,25.643,0.0135,0.321,3
30.00,0.060,0.531,0.098,25.691,0.0128,0.397,4
32.00,0.064,0.584,0.066,25.584,0.0140,0.252,3
34.00,0.068,0.602,0.070,25.582,0.0164,0.306,4
36.00,0.072,0.521,0.094,25.543,0.0189,0.445,4
38.00,0.076,0.626,0.030,25.508,0.0159,0.273,4
40.00,0.080,0.800,0.044,25.542,0.0139,0.272,3
42.00,0.084,0.859,0.081,25.566,0.0131,0.351,4
44.00,0.088,0.748,0.153,25.556,0.0130,0.624,3
46.00,0.092,0.711,0.066,25.538,0.0123,0.444,4
48.00,0.096,0.761,0.069,25.584,0.0136,0.495,4
50.00,0.100,0.639,0.127,25.567,0.0153,0.674,4
52.00,0.104,0.603,0.099,25.600,0.0161,0.593,4
54.00,0.108,0.667,0.089,25.666,0.0141,0.442,4
56.00,0.112,0.749,0.118,25.596,0.0132,0.487,4
58.00,0.116,0.818,0.093,25.538,0.0121,0.466,4
60.00,0.120,0.798,0.026,25.541,0.0132,0.592,3
62.00,0.124,0.854,0.072,25.527,0.0113,0.515,3
64.00,0.128,0.946,0.105,25.540,0.0122,0.484,4
66.00,0.132,0.964,0.105,25.514,0.0111,0.641,4
68.00,0.136,1.052,0.125,25.546,0.0130,0.569,3
70.00,0.140,1.169,0.102,25.503,0.0121,0.525,4
72.00,0.144,1.314,0.102,25.549,0.0106,0.497,3
74.00,0.148,1.422,0.028,25.581,0.0124,0.558,3
76.00,0.152,1.556,0.068,25.508,0.0122,0.494,4
78.00,0.156,1.563,0.122,25.483,0.0123,0.700,3
80.00,0.160,1.807,0.055,25.488,0.0128,0.470,3
82.00,0.164,2.093,0.024,25.508,0.0135,0.541,3
84.00,0.168,2.083,0.080,25.574,0.0134,0.785,3
86.00,0.172,2.017,0.165,25.587,0.0155,0.883,3
88.00,0.176,2.126,0.105,25.515,0.0138,0.652,3
90.00,0.180,2.303,0.099,25.470,0.0139,0.597,4
92.00,0.184,2.305,0.166,25.485,0.0152,0.868,4
94.00,0.188,2.408,0.159,25.440,0.0188,0.772,3
96.00,0.192,2.547,0.167,25.415,0.0173,0.786,3
98.00,0.196,2.673,0.163,25.442,0.0138,0.793,4
100.00,0.200,2.826,0.157,25.463,0.0143,0.778,3
102.00,0.204,2.925,0.153,25.516,0.0145,0.833,4
104.00,0.208,3.050,0.185,25.522,0.0157,0.869,4
106.00,0.212,3.127,0.180,25.597,0.0156,0.922,4
108.00,0.216,3.136,0.157,25.640,0.0145,0.952,4
110.00,0.220,3.210,0.114,25.609,0.0169,0.849,4
112.00,0.224,3.207,0.165,25.634,0.0179,0.991,3
114.00,0.228,3.264,0.167,25.612,0.0194,0.960,3
116.00,0.232,3.420,0.188,25.618,0.0183,0.934,4
118.00,0.236,3.494,0.175,25.535,0.0163,1.059,3
120.00,0.240,3.379,0.255,25.434,0.0138,1.282,5
122.00,0.244,3.305,0.239,25.462,0.0117,1.244,3
